"","fDate","datalogger","temp_min","temp_median","temp_mean","temp_max","hum_min","hum_median","hum_mean","hum_max","vpd_min","vpd_median","vpd_mean","vpd_max","transect","Community","site","time"
"27",2019-12-14,1,5.1,10.85,13.8854166666667,29.2,26.4,75.5,63.0697916666667,88.4,0.106289769213222,0.319702953715889,0.82360182348906,2.78345136547304,"t1","B shrubland","B shrubland / t1",-7
"28",2019-12-15,1,4.7,10.8,13.6729166666667,29.1,29.4,52.15,50.2229166666667,69.4,0.2731621383351,0.622331920150781,0.961946460508851,2.85641931152851,"t1","B shrubland","B shrubland / t1",-6
"29",2019-12-16,1,5.4,10.9,14.409375,28.9,26.6,53.95,49.0697916666667,70.8,0.266699732605662,0.596868782637583,1.06710141476731,2.82755160525531,"t1","B shrubland","B shrubland / t1",-5
"30",2019-12-17,1,4.1,11.4,14.2302083333333,31.8,29.1,53.4,55.640625,79.4,0.174268482750134,0.617820332750209,0.994476048395202,3.34807291125324,"t1","B shrubland","B shrubland / t1",-4
"31",2019-12-18,1,10.1,13.6,14.9489583333333,25.7,51.8,69.75,69.2125,83.2,0.24268165316339,0.470469898181729,0.571906705650704,1.59806599992839,"t1","B shrubland","B shrubland / t1",-3
"32",2019-12-19,1,4.1,10.3,12,29.4,32.4,83.6,67.33125,87.6,0.110151666319512,0.202527343139883,0.641861695275707,2.78284625381176,"t1","B shrubland","B shrubland / t1",-2
"33",2019-12-20,1,2.3,10.85,13.79375,30.2,27.6,60.6,55.003125,79.5,0.152811053223911,0.514110798569595,1.05676645375185,3.08518783364675,"t1","B shrubland","B shrubland / t1",-1
"34",2019-12-21,1,4.2,14.6,16.44375,33.4,23.3,48.6,50.8479166666667,81.5,0.155411219191695,0.873087711957889,1.33228413027996,3.85002061406143,"t1","B shrubland","B shrubland / t1",0
"35",2019-12-22,1,6,17.15,19.334375,35.5,24.8,41.15,46.03125,74.3,0.246378033217311,1.18999569317715,1.62942025594553,4.26294806501078,"t1","B shrubland","B shrubland / t1",1
"36",2019-12-23,1,10.2,14.85,18.26875,38.8,23.4,59.25,56.140625,79.8,0.259198048633321,0.706582665636258,1.26846366000957,4.99209873657437,"t1","B shrubland","B shrubland / t1",2
"37",2019-12-24,1,3.4,8.1,10.0677083333333,24.6,36,82.1,72.4302083333333,90.7,0.0781239600494526,0.19302830865166,0.451313472939129,1.98736738292714,"t1","B shrubland","B shrubland / t1",3
"38",2019-12-25,1,1.5,8.3,12.2229166666667,28.9,27.4,61.75,55.2885416666667,76.8,0.158678748279637,0.420218775839224,0.935253973733154,2.90353955504294,"t1","B shrubland","B shrubland / t1",4
"39",2019-12-26,1,6,11,14.3270833333333,30.5,28.4,61.7,57.021875,81,0.182147184090619,0.483921955328507,0.982467169394984,3.05212327251293,"t1","B shrubland","B shrubland / t1",5
"40",2019-12-27,1,7.4,14.65,16.1864583333333,35.3,31,63.75,60.0385416666667,80.5,0.222286766376751,0.499838051281459,0.995487361689079,3.9633919944382,"t1","B shrubland","B shrubland / t1",6
"41",2019-12-28,1,5.6,13.55,16.3041666666667,29.8,27.9,83.15,64.334375,89.1,0.112694221093329,0.26105888962125,1.0173847711607,2.96809489496787,"t1","B shrubland","B shrubland / t1",7
"42",2019-12-29,1,7.2,16.9,19.4447916666667,36.5,29.5,52.4,54.3541666666667,81.3,0.194789421367235,0.902607164281005,1.47672435602635,4.32593124799684,"t1","B shrubland","B shrubland / t1",8
"43",2019-12-30,1,10.3,18.75,20.8895833333333,37.6,18.8,45.25,41.5583333333333,64.6,0.463399598745735,1.1684520232378,1.85915829483336,5.00984990262516,"t1","B shrubland","B shrubland / t1",9
