"","fuel_type","fuel_type_num","transect","Community","site","site_num","fuel_site","fuel_site_num","datalogger","point_id","date","time","moisture"
"41","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,16,2020-03-15,85,150.442477876106
"42","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,17,2020-03-15,85,134.684684684685
"43","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,18,2020-03-15,85,150.943396226415
"44","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,19,2020-03-15,85,131.329113924051
"45","Live fuel mixture","1","t1","U forest","U forest / t1","1","Live fuel mixture / U forest / t1","1",4,20,2020-03-15,85,122.372881355932
"135","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2019-11-21,-30,160.26936026936
"136","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2019-11-21,-30,202.671755725191
"137","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2019-11-21,-30,111.855670103093
"138","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2019-11-21,-30,114.801444043321
"139","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2019-11-21,-30,115.986394557823
"140","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2019-12-06,-15,107.920792079208
"141","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2019-12-06,-15,110.774410774411
"142","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2019-12-06,-15,156.170212765957
"143","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2019-12-06,-15,205.21327014218
"144","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2019-12-06,-15,188.826815642458
"145","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2019-12-22,1,444
"146","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2019-12-22,1,239.36170212766
"147","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2019-12-22,1,140.566037735849
"148","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2019-12-22,1,127.372262773723
"149","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2019-12-22,1,118.981481481481
"150","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-01-04,14,182.352941176471
"151","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-01-04,14,202.714932126697
"152","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-01-04,14,132.608695652174
"153","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-01-04,14,141.726618705036
"154","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-01-04,14,124.028268551237
"155","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-01-16,26,166.804979253112
"156","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-01-16,26,152.471482889734
"157","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-01-16,26,164.102564102564
"158","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-01-16,26,126.267281105991
"159","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-01-16,26,119.607843137255
"160","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-01-30,40,119.333333333333
"161","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-01-30,40,133.463035019455
"162","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-01-30,40,114.973262032086
"163","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-01-30,40,168.539325842697
"164","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-01-30,40,128.977272727273
"165","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-02-19,60,120.100502512563
"166","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-02-19,60,121.917808219178
"167","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-02-19,60,108.695652173913
"168","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-02-19,60,137.417218543046
"169","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-02-19,60,126.720647773279
"170","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-02-27,68,126.890756302521
"171","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-02-27,68,140
"172","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-02-27,68,116.141732283465
"173","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-02-27,68,136.842105263158
"174","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-02-27,68,118.75
"175","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,11,2020-03-15,85,133.670033670034
"176","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,12,2020-03-15,85,131.489361702128
"177","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,13,2020-03-15,85,111.764705882353
"178","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,14,2020-03-15,85,165.989847715736
"179","Live fuel mixture","1","t1","B forest +reg","B forest +reg / t1","2","Live fuel mixture / B forest +reg / t1","2",3,15,2020-03-15,85,107.5
"270","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2019-11-21,-30,173.306772908367
"271","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2019-11-21,-30,158.241758241758
"272","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2019-11-21,-30,213.375796178344
"273","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2019-11-21,-30,162.19512195122
"274","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2019-11-21,-30,156.880733944954
"275","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,6,2019-12-06,-15,171.003717472119
"276","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,7,2019-12-06,-15,436.585365853658
"277","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,8,2019-12-06,-15,168.283582089552
"278","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,9,2019-12-06,-15,201.442307692308
"279","Live fuel mixture","1","t1","B forest -reg","B forest -reg / t1","3","Live fuel mixture / B forest -reg / t1","3",2,10,2019-12-06,-15,198.941798941799
